type,size,n_files,iterations,time,final_avg_q,gamma
EUC_2D,10,100,1215,6.825122730995645,79.93012237548828,0.99
EUC_2D,20,100,633,5.972192872999585,79.72798919677734,0.99
EUC_2D,30,100,684,7.994210735996603,79.40876770019531,0.99
ATT,10,100,1232,5.382984998002939,79.9258804321289,0.99
ATT,20,100,625,6.141347103999578,79.7355728149414,0.99
ATT,30,100,661,5.897344910001266,79.47933959960938,0.99
GEO,10,100,1233,5.4743899930035695,79.89049530029297,0.99
GEO,20,100,633,5.881446610997955,79.67479705810547,0.99
GEO,30,100,695,7.273496173002059,79.28134155273438,0.99
